Source,Page,Position,Item No.,Item Name,Unit Price,Set Up Dimension,Weight Stack,N.W.,G.W.,Volume,Photo File,Image,Image Source,Source URL,Catalog Page
Price_List,4,3,M3-1003,Hip Abductor,"US$1,015",992*1353*1518mm,218lbs/99kg,155kg,195kg,2,photos/Price_List_M3-1003_p4.png,images/M3-1003 - Hip Abductor/01 - Hip Abductor.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,44
Price_List,4,4,M3-1004,Hip Adductor,"US$1,015",1146*1340*1518mm,218lbs/99kg,155kg,195kg,2,photos/Price_List_M3-1004_p4.png,images/M3-1004 - Hip Adductor/01 - Hip Adductor.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,45
Price_List,4,5,M3-1005,Leg Extension,"US$1,043",1073*1587*1618mm,293lbs/132.75kg,140kg,180kg,1.4,photos/Price_List_M3-1005_p4.png,images/M3-1005 - Leg Extension/01 - Leg Extension.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,45
Price_List,4,6,M3-1006,Prone Leg Curl,US$970,1043*1500*1518mm,263lbs/119.25kg,130kg,170kg,1.1,photos/Price_List_M3-1006_p4.png,images/M3-1006 - Prone Leg Curl/01 - Prone Leg Curl.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,45
Price_List,4,7,M3-1007,Seated Shoulder Press,US$992,1444*1666*1518mm,218lbs/99kg,168kg,208kg,1.6,photos/Price_List_M3-1007_p4.png,images/M3-1007 - Seated Shoulder Press/01 - Seated Shoulder Press.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,46
Price_List,4,8,M3-1008,Abdominal Crunch,US$986,1058*1280*1518mm,218lbs/99kg,142kg,182kg,1.4,photos/Price_List_M3-1008_p4.png,images/M3-1008 - Abdominal Crunch/01 - Abdominal Crunch.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,46
Price_List,5,9,M3-1009,Seated Leg Press,"US$1,297",995*1942*1718mm,293lbs/132.75kg,256kg,296kg,1.9,photos/Price_List_M3-1009_p5.png,images/M3-1009 - Seated Leg Press/01 - Seated Leg Press.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,46
Price_List,5,10,M3-1010,Seated Biceps Curl,"US$1,043",1371*1208*1518mm,174lbs/78.75kg,132kg,172kg,1.3,photos/Price_List_M3-1010_p5.png,images/M3-1010 - Seated Biceps Curl/01 - Seated Biceps Curl.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,47
Price_List,5,11,M3-1011,Seated Triceps Extension,"US$1,043",1682*1157*1518mm,263lbs/119.25kg,132kg,172kg,1.5,photos/Price_List_M3-1011_p5.png,images/M3-1011 - Seated Triceps Extension/01 - Seated Triceps Extension.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,47
Price_List,5,12,M3-1012,Pectoral Machine,"US$1,068",1090*1958*1518mm,263lbs/119.25kg,130kg,170kg,1.5,photos/Price_List_M3-1012_p5.png,images/M3-1012 - Pectoral Machine/01 - Pectoral Machine.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,47
Price_List,5,13,M3-1013,Lat Pull Down,US$986,1090*1958*1882mm,263lbs/119.25kg,165kg,205kg,1.8,photos/Price_List_M3-1013_p5.png,images/M3-1013 - Lat Pull Down/01 - Lat Pull Down.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,48
Price_List,5,14,M3-1014,Multi Hip,"US$1,099",1165*1113*1618mm,263lbs/119.25kg,215kg,255kg,1.7,photos/Price_List_M3-1014_p5.png,images/M3-1014 - Multi Hip/01 - Multi Hip.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,48
Price_List,5,15,M3-1015,Seated Row/Rear Delt,"US$1,015",875*1479*1518mm,263lbs/119.25kg,138kg,178kg,1.5,photos/Price_List_M3-1015_p5.png,images/M3-1015 - Seated Row_Rear Delt/01 - Seated Row_Rear Delt.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,48
